0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,y
11,20,27,32,19,31,33,31,19,31,30,27,20,30,28,24,22,29,27,24,10,18,25,13,26,27,25,17,28,26,22,22,29,26,21,25,29,26,22,9,16,8,18,19,16,15,22,19,15,21,24,20,16,25,26,22,19,7,9,11,11,8,15,16,12,8,20,19,15,12,24,23,19,16,13,6,5,2,16,12,8,6,21,16,12,11,25,21,17,15,13,14,12,7,14,13,9,12,16,12,8,17,18,14,10,2,4,12,5,1,3,16,9,5,6,19,14,10,10,2,15,7,3,5,18,11,8,9,21,16,13,12,14,9,5,4,18,13,9,9,22,18,14,13,12,11,10,5,11,9,5,10,11,8,5,3,7,13,4,2,6,15,9,6,7,4,14,8,4,6,18,12,9,8,14,11,6,4,18,15,11,9,10,10,9,4,8,7,5,4,8,12,5,3,6,4,13,8,5,5,13,11,7,4,8,9,9,4,7,3,1
9,18,23,28,21,30,36,39,19,29,34,38,17,26,30,33,14,21,25,28,8,14,19,12,21,26,30,10,20,25,28,8,17,21,24,5,12,16,19,5,10,3,12,17,21,1,11,16,20,0,8,12,15,3,4,8,10,4,3,7,12,15,4,5,10,14,6,2,7,9,9,3,2,4,7,2,7,11,8,0,6,9,11,2,2,4,14,7,4,2,9,14,18,1,8,13,16,4,5,9,12,7,4,6,8,5,8,10,1,4,7,13,5,3,4,16,10,7,5,3,16,6,1,2,18,10,6,4,21,15,11,9,19,10,5,1,22,13,9,7,25,19,15,12,9,14,18,2,7,11,13,5,4,6,9,5,8,11,3,2,4,15,8,5,3,3,17,8,4,2,20,13,10,7,20,12,7,5,23,17,13,10,9,13,15,3,5,8,10,4,6,11,5,2,2,2,16,9,5,2,18,12,8,5,7,11,13,3,6,2,1
9,18,26,31,17,31,34,32,15,32,33,30,18,33,33,29,22,32,33,32,9,19,26,9,26,29,27,12,30,30,27,18,32,31,28,24,33,33,32,10,17,1,18,22,20,9,23,24,21,17,27,27,23,24,30,30,28,7,9,9,13,11,10,15,16,13,16,20,20,17,23,25,24,22,17,2,5,4,15,9,10,8,18,15,15,13,22,21,19,18,18,21,19,7,23,23,20,15,26,26,22,23,29,29,27,3,2,15,7,8,6,16,13,12,11,20,18,17,15,2,18,4,5,5,18,10,10,10,21,16,15,13,16,5,5,4,16,11,10,9,19,16,15,13,17,18,15,8,20,19,16,15,21,22,20,0,2,15,5,5,5,17,11,10,8,3,16,5,5,5,17,11,9,8,13,7,6,5,15,12,11,9,15,14,11,7,15,15,14,0,3,13,6,4,2,3,13,6,4,3,11,7,6,4,10,12,12,2,3,1,1
10,19,27,32,18,31,35,34,18,32,33,30,20,33,32,29,23,33,32,30,9,19,25,9,25,29,28,13,28,29,26,18,30,30,26,24,32,31,29,9,16,2,17,21,21,9,22,22,19,17,25,25,21,23,28,28,25,6,9,8,12,11,10,14,15,12,16,19,18,16,22,24,22,20,15,3,6,6,15,11,11,9,18,16,16,14,22,21,20,18,15,20,19,7,20,21,18,15,24,23,20,21,26,26,23,4,3,13,7,7,5,14,12,12,10,19,17,16,14,0,16,5,5,5,17,11,10,10,20,16,15,14,16,5,5,5,16,11,10,10,20,16,15,14,15,15,13,7,17,16,13,13,19,18,16,0,2,13,5,5,4,14,10,9,8,2,13,5,5,5,15,11,9,8,11,7,6,5,14,12,10,9,12,12,9,6,13,12,10,0,4,12,5,4,4,3,11,5,4,4,9,7,6,4,9,9,8,1,3,2,1
9,17,25,30,19,29,34,37,17,30,33,33,19,30,29,26,22,29,27,24,9,18,25,10,23,29,31,12,26,29,28,17,28,27,23,23,29,27,23,9,16,1,14,20,23,6,19,21,21,14,22,21,18,20,25,22,19,7,9,4,10,13,7,10,12,11,11,15,14,11,18,19,17,15,16,3,3,6,13,4,5,4,13,11,10,9,17,16,14,13,13,20,23,7,19,22,21,15,23,21,18,22,26,23,20,6,9,11,7,9,8,14,13,13,11,19,18,16,15,2,17,5,5,3,17,12,11,11,20,17,16,16,19,7,5,4,19,12,12,13,22,18,17,17,14,17,16,7,16,15,11,14,18,16,13,3,2,12,6,5,6,14,11,10,10,1,14,7,7,8,16,12,11,12,14,8,7,8,17,13,12,12,11,10,6,6,11,9,6,1,4,10,5,4,6,3,9,5,4,5,8,7,5,4,7,6,4,2,5,3,1
9,18,25,30,18,30,30,27,16,30,27,23,17,29,25,21,21,28,24,20,9,18,25,10,26,26,23,13,28,25,20,18,29,25,21,24,29,26,22,9,17,2,19,20,17,9,23,20,15,17,25,22,19,24,27,24,22,7,7,11,12,9,9,16,14,10,16,19,17,16,22,23,21,20,14,5,6,5,13,11,10,10,17,16,15,15,22,21,19,20,17,18,14,7,21,18,13,15,23,20,16,22,25,22,20,1,2,14,6,6,7,15,11,11,12,19,16,15,16,3,14,5,5,7,14,10,10,11,18,15,14,15,11,7,5,5,12,11,10,10,17,15,14,14,15,12,7,7,16,12,9,14,18,14,12,3,8,13,5,6,9,14,10,10,12,5,10,5,5,7,13,10,9,10,7,9,7,5,12,13,10,10,11,7,3,6,11,7,4,3,8,10,5,6,9,4,8,5,4,6,6,8,5,4,7,4,2,3,7,3,1
9,18,25,31,18,31,29,26,16,30,27,23,16,29,25,21,20,28,24,21,9,19,26,10,27,26,22,11,28,25,20,17,29,25,21,23,29,26,23,10,19,0,19,19,15,8,22,20,15,16,25,22,19,23,27,24,22,8,10,9,9,5,10,14,12,9,15,17,16,15,21,21,19,19,18,1,3,4,15,8,8,9,17,13,13,14,21,18,17,18,18,18,14,8,22,19,15,16,24,22,18,23,26,23,21,1,4,15,6,6,8,16,11,11,13,19,16,16,17,3,14,5,5,6,14,10,10,11,18,14,14,15,11,8,6,4,12,12,10,10,17,16,14,14,16,13,8,8,17,14,11,15,19,16,13,3,7,14,5,6,9,15,10,10,12,5,11,5,5,7,13,9,9,10,7,9,7,5,12,12,10,10,12,9,4,7,12,8,5,3,7,11,5,6,9,4,8,5,4,6,6,8,5,4,8,5,2,3,7,3,1
9,18,25,31,19,30,29,26,17,31,29,25,18,31,28,24,23,31,28,25,9,18,26,10,25,25,21,11,27,26,21,17,29,26,22,24,31,28,25,10,18,1,17,18,14,7,21,20,16,15,24,22,19,23,27,25,22,8,10,7,8,5,8,12,11,8,13,16,15,13,20,21,19,17,18,0,2,5,14,5,6,7,14,11,11,12,19,16,15,15,17,17,14,7,21,20,16,16,24,22,19,24,28,25,23,2,4,13,5,6,6,14,11,11,11,18,16,15,14,3,13,4,4,4,12,9,8,9,16,14,13,12,9,6,6,3,10,11,9,8,15,15,13,12,15,14,10,8,18,15,12,16,20,18,15,1,5,12,5,5,8,14,11,9,10,4,10,4,4,6,12,10,8,8,7,8,6,5,12,12,10,8,12,9,5,8,13,10,8,2,7,11,5,5,6,4,9,5,4,4,7,8,6,3,8,6,4,2,5,2,1
10,18,25,30,20,29,29,26,17,30,28,24,17,30,27,23,21,29,27,24,9,17,25,10,24,24,21,11,27,26,21,16,29,27,22,23,30,28,25,9,17,1,17,18,15,7,21,21,17,15,25,24,20,23,28,26,24,8,8,8,10,7,8,14,14,11,14,19,18,16,21,23,21,20,17,0,3,4,13,7,9,8,15,13,13,13,19,18,18,17,17,18,15,8,22,21,17,16,25,24,21,24,29,27,24,2,3,13,7,8,7,14,12,13,13,19,18,17,17,3,13,4,5,5,12,10,10,10,16,15,14,14,10,7,7,4,10,11,11,10,16,16,15,14,15,15,10,8,18,17,13,16,21,19,16,2,5,12,5,6,8,14,10,10,11,4,10,4,4,6,12,9,9,9,7,8,7,5,11,11,10,9,12,10,6,8,13,11,8,2,6,10,5,5,7,4,8,4,4,5,6,7,5,4,8,6,3,2,5,3,1
10,18,25,32,20,31,28,24,17,31,27,23,18,30,27,23,22,30,27,23,9,19,27,11,26,24,20,13,29,26,22,18,30,27,23,25,32,29,26,10,18,2,18,17,12,7,22,21,17,15,25,23,20,23,28,26,24,8,9,8,8,4,8,14,13,11,13,18,18,16,21,23,22,21,17,3,5,7,14,10,11,12,16,15,16,17,21,21,21,21,17,17,12,8,22,21,17,16,26,24,21,25,29,27,25,2,6,13,7,8,9,14,12,13,14,18,18,18,18,4,11,5,6,6,11,10,11,11,16,15,15,15,7,9,9,6,9,13,13,11,16,18,17,16,16,14,10,8,18,16,13,16,21,19,17,3,7,12,5,7,9,13,11,11,13,4,9,4,4,6,10,9,9,10,5,8,6,5,10,12,10,10,12,9,5,8,13,10,8,3,7,10,5,7,9,4,6,5,4,5,4,8,5,4,7,4,1,3,6,3,1
